Fecha de la captura,Nombre Blockchain,Token,Nombre,Precio (en US$),Ranking,Clase
22/11/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
23/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
24/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
25/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
26/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
27/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
28/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
29/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
30/11/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
01/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
02/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
03/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
04/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
05/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
06/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
07/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
08/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
09/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119237327112504,2715.0,3
10/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
11/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
12/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
13/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
14/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
15/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
16/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
17/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
18/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
19/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
20/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
21/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
22/12/2023,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
23/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
24/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
25/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
26/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
27/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
28/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
29/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
30/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
31/12/2023,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
01/01/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
02/01/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
03/01/2024,Solana,SHIT,Shitcoin (SOL),0.0121339528356135,2715.0,3
04/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
05/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
06/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
07/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
08/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
09/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
10/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
11/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
12/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
13/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
14/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
15/01/2024,Solana,SHIT,Shitcoin (SOL),0.0119411773075038,2715.0,3
16/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
17/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
18/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
19/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
20/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
21/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
22/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
23/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
24/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
25/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
26/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
27/01/2024,Solana,SHIT,Shitcoin (SOL),0.0120063857899865,2715.0,3
